Date,Price,Open,High,Low,Vol.,Change %
1-Feb-18,69.65,69,69.97,68.81,336.92K,0.87
31-Jan-18,69.05,68.43,69.15,68.33,20.43K,0.04
30-Jan-18,69.02,69.3,69.39,68.4,135.87K,-0.63
29-Jan-18,69.46,70.47,70.64,69.07,202.24K,-1.5
26-Jan-18,70.52,70.07,70.83,70.05,227.60K,0.14
25-Jan-18,70.42,70.95,71.28,69.97,301.93K,-0.16
24-Jan-18,70.53,69.97,70.94,69.54,308.37K,0.81
23-Jan-18,69.96,69.17,70.24,69.12,343.73K,1.35
22-Jan-18,69.03,68.8,69.51,68.39,250.60K,0.61
19-Jan-18,68.61,69.01,69.08,68.28,278.36K,-1.01
18-Jan-18,69.31,69.53,69.63,68.8,270.23K,-0.1
17-Jan-18,69.38,69.35,69.59,68.55,280.42K,0.33
16-Jan-18,69.15,70.05,70.13,68.83,322.95K,-1.58
15-Jan-18,70.26,69.88,70.37,69.55,173.46K,0.56
12-Jan-18,69.87,69.15,69.93,68.59,302.10K,0.88
11-Jan-18,69.26,69.15,70.05,69,341.94K,0.09
10-Jan-18,69.2,69.12,69.37,68.75,290.54K,0.55
9-Jan-18,68.82,68,69.29,67.7,319.92K,1.53
8-Jan-18,67.78,67.8,67.99,67.44,210.35K,0.24
5-Jan-18,67.62,67.97,68.11,67.26,183.45K,-0.66
4-Jan-18,68.07,67.89,68.27,67.62,246.15K,0.34
3-Jan-18,67.84,66.54,68.03,66.4,260.86K,1.91
2-Jan-18,66.57,66.55,67.29,66.24,211.74K,-0.45
29-Dec-17,66.87,66.15,66.98,66.15,157.95K,0.22
28-Dec-17,66.72,66.43,66.85,66.23,35.09K,0.42
27-Dec-17,66.44,66.76,66.94,66.03,122.43K,-0.87
26-Dec-17,67.02,65.2,67.1,65,74.25K,2.71
22-Dec-17,65.25,64.63,65.28,64.38,110.42K,0.54
21-Dec-17,64.9,64.49,64.93,64.2,155.42K,0.53
20-Dec-17,64.56,63.83,64.6,63.67,222.73K,1.19
19-Dec-17,63.8,63.41,63.91,63.3,213.19K,0.62
18-Dec-17,63.41,63.36,63.91,63,234.62K,0.28
15-Dec-17,63.23,63.39,63.68,63.08,213.00K,-0.13
14-Dec-17,63.31,62.81,63.5,62.01,277.67K,1.39
13-Dec-17,62.44,63.8,64.32,62.36,354.37K,-1.42
12-Dec-17,63.34,64.66,65.83,63.07,508.99K,-2.09
11-Dec-17,64.69,63.29,64.93,62.99,488.01K,2.03
8-Dec-17,63.4,62.08,63.64,62.01,362.43K,1.93
7-Dec-17,62.2,61.3,62.26,61.15,238.96K,1.6
6-Dec-17,61.22,62.64,62.93,61.13,314.26K,-2.61
5-Dec-17,62.86,62.45,63.15,62.12,219.34K,0.66
4-Dec-17,62.45,63.5,63.68,62.31,250.52K,-2.01
1-Dec-17,63.73,62.74,64.32,62.59,308.15K,0.25
30-Nov-17,63.57,63.28,64.21,63.21,26.21K,0.73
29-Nov-17,63.11,63.3,64.07,62.5,178.20K,-0.79
28-Nov-17,63.61,63.78,63.89,63.1,186.93K,-0.36
27-Nov-17,63.84,63.8,63.99,63.1,249.09K,-0.03
24-Nov-17,63.86,63.35,63.95,63.28,152.70K,0.49
23-Nov-17,63.55,63.24,63.57,62.88,113.08K,0.36
22-Nov-17,63.32,62.78,63.43,62.62,322.87K,1.2
21-Nov-17,62.57,62.1,62.87,62.07,338.16K,0.56
20-Nov-17,62.22,62.8,62.8,61.44,283.48K,-0.8
17-Nov-17,62.72,61.41,62.92,61.08,356.74K,2.22
16-Nov-17,61.36,61.88,62.15,61.25,314.06K,-0.82
15-Nov-17,61.87,61.55,62.13,61.3,279.41K,-0.55
14-Nov-17,62.21,63.06,63.17,61.21,418.94K,-1.5
13-Nov-17,63.16,63.68,63.77,62.61,335.15K,-0.57
10-Nov-17,63.52,63.8,64.27,63.35,307.97K,-0.64
9-Nov-17,63.93,63.52,64.25,63.26,319.86K,0.69
8-Nov-17,63.49,63.69,64.64,62.95,418.07K,-0.31
7-Nov-17,63.69,64.12,64.65,63.5,389.46K,-0.9
6-Nov-17,64.27,62.27,64.44,62.08,356.99K,3.54
3-Nov-17,62.07,60.88,62.23,60.6,272.74K,2.39
2-Nov-17,60.62,60.5,60.86,60.02,289.30K,0.21
1-Nov-17,60.49,61.07,61.7,60,337.76K,-1.43
31-Oct-17,61.37,60.86,61.41,60.53,29.12K,0.77
30-Oct-17,60.9,60.66,61,60.14,168.54K,0.76
27-Oct-17,60.44,59.37,60.65,58.82,209.89K,1.92
26-Oct-17,59.3,58.42,59.55,58.05,232.28K,1.47
25-Oct-17,58.44,58.44,58.74,57.85,260.55K,0.19
24-Oct-17,58.33,57.41,58.57,57.04,334.68K,1.67
23-Oct-17,57.37,57.95,58.05,57.27,353.07K,-0.66
20-Oct-17,57.75,57.32,57.94,56.6,369.89K,0.91
19-Oct-17,57.23,58.24,58.3,57.02,430.67K,-1.58
18-Oct-17,58.15,58.16,58.54,57.74,329.33K,0.47
17-Oct-17,57.88,57.78,58.35,57.18,405.22K,0.1
16-Oct-17,57.82,57.28,58.47,57.12,341.78K,1.14
13-Oct-17,57.17,56.44,57.57,56.34,332.60K,1.64
12-Oct-17,56.25,56.74,56.83,55.88,339.53K,-1.21
11-Oct-17,56.94,56.56,57.09,56.14,310.14K,0.58
10-Oct-17,56.61,55.78,56.91,55.73,290.34K,1.47
9-Oct-17,55.79,55.5,55.98,55.06,301.15K,0.31
6-Oct-17,55.62,56.99,57.28,55.13,395.65K,-2.42
5-Oct-17,57,55.77,57.24,55.7,379.30K,2.15
4-Oct-17,55.8,55.67,56.2,55.38,330.85K,-0.36
3-Oct-17,56,56.1,56.4,55.7,275.42K,-0.21
2-Oct-17,56.12,56.73,56.76,55.5,352.05K,-2.47
29-Sep-17,57.54,57.6,57.8,57.14,24.02K,0.23
28-Sep-17,57.41,57.7,58.65,56.85,117.89K,-0.85
27-Sep-17,57.9,58.57,58.89,57.57,142.87K,-0.92
26-Sep-17,58.44,59.05,59.49,57.77,214.73K,-0.98
25-Sep-17,59.02,56.87,59.25,56.7,224.94K,3.8
